序号,公司,Ticker,指数归属,GICS行业,GICS子行业,ICB行业,ICB子行业,CIK,研究目录,状态
1,Amazon,AMZN,"Nasdaq-100, S&P 500",Consumer Discretionary,Broadline Retail,Consumer Discretionary,Catalog/Specialty Distribution,0001018724,Amazon_AMZN,已完成
2,Apple Inc.,AAPL,"Nasdaq-100, S&P 500",Information Technology,"Technology Hardware, Storage & Peripherals",Technology,Computer Hardware,0000320193,Apple_AAPL,已完成
3,Microsoft,MSFT,"Nasdaq-100, S&P 500",Information Technology,Systems Software,Technology,Software,0000789019,Microsoft_MSFT,已完成
4,AT&T,T,S&P 500,Communication Services,Integrated Telecommunication Services,,,0000732717,AT_T_T,已完成
5,Alphabet Inc.,GOOG/GOOGL,"Nasdaq-100, S&P 500",Communication Services,Interactive Media & Services,Technology,Software,0001652044,Alphabet_Inc_GOOG_GOOGL,已完成
6,Charter Communications,CHTR,S&P 500,Communication Services,Cable & Satellite,,,0001091667,Charter_Communications_CHTR,已完成
7,Comcast,CMCSA,"Nasdaq-100, S&P 500",Communication Services,Cable & Satellite,Telecommunications,Cable & Other Pay Television Services,0001166691,Comcast_CMCSA,已完成
8,EchoStar,ECHO,S&P 500,Communication Services,Wireless Telecommunication Services,,,0001415404,EchoStar_ECHO,已完成
9,Electronic Arts,EA,"Nasdaq-100, S&P 500",Communication Services,Interactive Home Entertainment,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,0000712515,Electronic_Arts_EA,已完成
10,Fox Corporation,FOX/FOXA,S&P 500,Communication Services,Broadcasting,,,0001754301,Fox_Corporation_FOX_FOXA,已完成
11,Live Nation Entertainment,LYV,S&P 500,Communication Services,Movies & Entertainment,,,0001335258,Live_Nation_Entertainment_LYV,已完成
12,Meta Platforms,META,"Nasdaq-100, S&P 500",Communication Services,Interactive Media & Services,Technology,Software,0001326801,Meta_Platforms_META,已完成
13,Netflix,NFLX,S&P 500,Communication Services,Movies & Entertainment,,,0001065280,Netflix_NFLX,已完成
14,News Corp,NWS/NWSA,S&P 500,Communication Services,Publishing,,,0001564708,News_Corp_NWS_NWSA,已完成
15,Omnicom Group,OMC,S&P 500,Communication Services,Advertising,,,0000029989,Omnicom_Group_OMC,已完成
16,Paramount Skydance Corporation,PSKY,S&P 500,Communication Services,Movies & Entertainment,,,0002041610,Paramount_Skydance_Corporation_PSKY,已完成
17,T-Mobile US,TMUS,"Nasdaq-100, S&P 500",Communication Services,Wireless Telecommunication Services,Telecommunications,Telecommunications Services,0001283699,T_Mobile_US_TMUS,已完成
18,TKO Group Holdings,TKO,S&P 500,Communication Services,Movies & Entertainment,,,0001973266,TKO_Group_Holdings_TKO,已完成
19,Take-Two Interactive,TTWO,"Nasdaq-100, S&P 500",Communication Services,Interactive Home Entertainment,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,0000946581,Take_Two_Interactive_TTWO,已完成
20,Trade Desk (The),TTD,S&P 500,Communication Services,Advertising,,,0001671933,Trade_Desk_The_TTD,已完成
21,Verizon,VZ,S&P 500,Communication Services,Integrated Telecommunication Services,,,0000732712,Verizon_VZ,已完成
22,Walt Disney Company (The),DIS,S&P 500,Communication Services,Movies & Entertainment,,,0001744489,Walt_Disney_Company_The_DIS,已完成
23,Warner Bros. Discovery,WBD,"Nasdaq-100, S&P 500",Communication Services,Broadcasting,Consumer Discretionary,Entertainment,0001437107,Warner_Bros_Discovery_WBD,已完成
24,Airbnb,ABNB,"Nasdaq-100, S&P 500",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,Diversified Commercial Services,0001559720,Airbnb_ABNB,已完成
25,Aptiv,APTV,S&P 500,Consumer Discretionary,Automotive Parts & Equipment,,,0001521332,Aptiv_APTV,已完成
26,AutoZone,AZO,S&P 500,Consumer Discretionary,Automotive Retail,,,0000866787,AutoZone_AZO,已完成
27,Best Buy,BBY,S&P 500,Consumer Discretionary,Computer & Electronics Retail,,,0000764478,Best_Buy_BBY,已完成
28,Booking Holdings,BKNG,"Nasdaq-100, S&P 500",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,Transportation Services,0001075531,Booking_Holdings_BKNG,已完成
29,Carnival Corporation,CCL,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,0000815097,Carnival_Corporation_CCL,已完成
30,Carvana,CVNA,S&P 500,Consumer Discretionary,Automotive Retail,,,0001690820,Carvana_CVNA,已完成
31,Chipotle Mexican Grill,CMG,S&P 500,Consumer Discretionary,Restaurants,,,0001058090,Chipotle_Mexican_Grill_CMG,已完成
32,D. R. Horton,DHI,S&P 500,Consumer Discretionary,Homebuilding,,,0000882184,D_R_Horton_DHI,已完成
33,Darden Restaurants,DRI,S&P 500,Consumer Discretionary,Restaurants,,,0000940944,Darden_Restaurants_DRI,已完成
34,Deckers Brands,DECK,S&P 500,Consumer Discretionary,Footwear,,,0000910521,Deckers_Brands_DECK,已完成
35,Domino's,DPZ,S&P 500,Consumer Discretionary,Restaurants,,,0001286681,Domino_s_DPZ,已完成
36,DoorDash,DASH,"Nasdaq-100, S&P 500",Consumer Discretionary,Specialized Consumer Services,Technology,Software,0001792789,DoorDash_DASH,已完成
37,Expedia Group,EXPE,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,0001324424,Expedia_Group_EXPE,已完成
38,Ford Motor Company,F,S&P 500,Consumer Discretionary,Automobile Manufacturers,,,0000037996,Ford_Motor_Company_F,已完成
39,Garmin,GRMN,S&P 500,Consumer Discretionary,Consumer Electronics,,,0001121788,Garmin_GRMN,已完成
40,General Motors,GM,S&P 500,Consumer Discretionary,Automobile Manufacturers,,,0001467858,General_Motors_GM,已完成
41,Genuine Parts Company,GPC,S&P 500,Consumer Discretionary,Distributors,,,0000040987,Genuine_Parts_Company_GPC,已完成
42,Hasbro,HAS,S&P 500,Consumer Discretionary,Leisure Products,,,0000046080,Hasbro_HAS,已完成
43,Hilton Worldwide,HLT,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,0001585689,Hilton_Worldwide_HLT,已完成
44,Home Depot (The),HD,S&P 500,Consumer Discretionary,Home Improvement Retail,,,0000354950,Home_Depot_The_HD,已完成
45,Las Vegas Sands,LVS,S&P 500,Consumer Discretionary,Casinos & Gaming,,,0001300514,Las_Vegas_Sands_LVS,已完成
46,Lennar,LEN,S&P 500,Consumer Discretionary,Homebuilding,,,0000920760,Lennar_LEN,已完成
47,Lowe's,LOW,S&P 500,Consumer Discretionary,Home Improvement Retail,,,0000060667,Lowe_s_LOW,已完成
48,Lululemon Athletica,LULU,S&P 500,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,0001397187,Lululemon_Athletica_LULU,已完成
49,MGM Resorts,MGM,S&P 500,Consumer Discretionary,Casinos & Gaming,,,0000789570,MGM_Resorts_MGM,已完成
50,Marriott International,MAR,"Nasdaq-100, S&P 500",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,Hotels/Resorts,0001048286,Marriott_International_MAR,已完成
51,McDonald's,MCD,S&P 500,Consumer Discretionary,Restaurants,,,0000063908,McDonald_s_MCD,已完成
52,Mercado Libre,MELI,Nasdaq-100,,,Consumer Discretionary,Catalog/Specialty Distribution,,Mercado_Libre_MELI,已完成
53,"NVR, Inc.",NVR,S&P 500,Consumer Discretionary,Homebuilding,,,0000906163,NVR_Inc_NVR,已完成
54,"Netflix, Inc.",NFLX,Nasdaq-100,,,Consumer Discretionary,Consumer Electronics,,Netflix_Inc_NFLX,已完成
55,"Nike, Inc.",NKE,S&P 500,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,0000320187,Nike_Inc_NKE,已完成
56,Norwegian Cruise Line Holdings,NCLH,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,0001513761,Norwegian_Cruise_Line_Holdings_NCLH,已完成
57,O'Reilly Automotive,ORLY,Nasdaq-100,,,Consumer Discretionary,Specialty Retailers,,O_Reilly_Automotive_ORLY,已完成
58,O’Reilly Automotive,ORLY,S&P 500,Consumer Discretionary,Automotive Retail,,,0000898173,O_Reilly_Automotive_ORLY,已完成
59,PulteGroup,PHM,S&P 500,Consumer Discretionary,Homebuilding,,,0000822416,PulteGroup_PHM,已完成
60,Ralph Lauren Corporation,RL,S&P 500,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,0001037038,Ralph_Lauren_Corporation_RL,已完成
61,Ross Stores,ROST,"Nasdaq-100, S&P 500",Consumer Discretionary,Apparel Retail,Consumer Discretionary,Clothing/Shoe/Accessory Stores,0000745732,Ross_Stores_ROST,已完成
62,Royal Caribbean Group,RCL,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,0000884887,Royal_Caribbean_Group_RCL,已完成
63,Starbucks,SBUX,"Nasdaq-100, S&P 500",Consumer Discretionary,Restaurants,Consumer Discretionary,Restaurants,0000829224,Starbucks_SBUX,已完成
64,TJX Companies,TJX,S&P 500,Consumer Discretionary,Apparel Retail,,,0000109198,TJX_Companies_TJX,已完成
65,"Tapestry, Inc.",TPR,S&P 500,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,,0001116132,Tapestry_Inc_TPR,已完成
66,"Tesla, Inc.",TSLA,"Nasdaq-100, S&P 500",Consumer Discretionary,Automobile Manufacturers,Consumer Discretionary,Automobiles & Parts,0001318605,Tesla_Inc_TSLA,已完成
67,Tractor Supply,TSCO,S&P 500,Consumer Discretionary,Other Specialty Retail,,,0000916365,Tractor_Supply_TSCO,已完成
68,Ulta Beauty,ULTA,S&P 500,Consumer Discretionary,Other Specialty Retail,,,0001403568,Ulta_Beauty_ULTA,已完成
69,"Williams-Sonoma, Inc.",WSM,S&P 500,Consumer Discretionary,Homefurnishing Retail,,,0000719955,Williams_Sonoma_Inc_WSM,已完成
70,Wynn Resorts,WYNN,S&P 500,Consumer Discretionary,Casinos & Gaming,,,0001174922,Wynn_Resorts_WYNN,已完成
71,Yum! Brands,YUM,S&P 500,Consumer Discretionary,Restaurants,,,0001041061,Yum_Brands_YUM,已完成
72,eBay Inc.,EBAY,S&P 500,Consumer Discretionary,Broadline Retail,,,0001065088,eBay_Inc_EBAY,已完成
73,Altria,MO,S&P 500,Consumer Staples,Tobacco,,,0000764180,Altria_MO,已完成
74,Archer Daniels Midland,ADM,S&P 500,Consumer Staples,Agricultural Products & Services,,,0000007084,Archer_Daniels_Midland_ADM,已完成
75,Brown–Forman,BF-B,S&P 500,Consumer Staples,Distillers & Vintners,,,0000014693,Brown_Forman_BF-B,已完成
76,Bunge Global,BG,S&P 500,Consumer Staples,Agricultural Products & Services,,,0001996862,Bunge_Global_BG,已完成
77,Casey's,CASY,S&P 500,Consumer Staples,Food Retail,,,0000726958,Casey_s_CASY,已完成
78,Church & Dwight,CHD,S&P 500,Consumer Staples,Household Products,,,0000313927,Church_Dwight_CHD,已完成
79,Clorox,CLX,S&P 500,Consumer Staples,Household Products,,,0000021076,Clorox_CLX,已完成
80,Coca-Cola Company (The),KO,S&P 500,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,,,0000021344,Coca_Cola_Company_The_KO,已完成
81,Coca-Cola Europacific Partners,CCEP,Nasdaq-100,,,Consumer Staples,Soft Drinks,,Coca_Cola_Europacific_Partners_CCEP,已完成
82,Colgate-Palmolive,CL,S&P 500,Consumer Staples,Household Products,,,0000021665,Colgate_Palmolive_CL,已完成
83,Constellation Brands,STZ,S&P 500,Consumer Staples,Distillers & Vintners,,,0000016918,Constellation_Brands_STZ,已完成
84,Costco,COST,"Nasdaq-100, S&P 500",Consumer Staples,Consumer Staples Merchandise Retail,Consumer Discretionary,Department/Specialty Retail Stores,0000909832,Costco_COST,已完成
85,Dollar General,DG,S&P 500,Consumer Staples,Consumer Staples Merchandise Retail,,,0000029534,Dollar_General_DG,已完成
86,Dollar Tree,DLTR,S&P 500,Consumer Staples,Consumer Staples Merchandise Retail,,,0000935703,Dollar_Tree_DLTR,已完成
87,Estée Lauder Companies (The),EL,S&P 500,Consumer Staples,Personal Care Products,,,0001001250,Est_e_Lauder_Companies_The_EL,已完成
88,General Mills,GIS,S&P 500,Consumer Staples,Packaged Foods & Meats,,,0000040704,General_Mills_GIS,已完成
89,Hershey Company (The),HSY,S&P 500,Consumer Staples,Packaged Foods & Meats,,,0000047111,Hershey_Company_The_HSY,已完成
